DomainProblem,Plan
"Domain: rocket <GOAL> at c17 l4, at c5 l2, at c19 l5, at c15 l1, at c16 l3, at c7 l0, at c1 l6, at c3 l3, at c12 l0, at c10 l5, at c13 l6, at c14 l4, at c20 l1, at c9 l2, at c4 l3, at c6 l1, at c18 l0, at c0 l2, at c8 l5, at c2 l6, at c11 l4 <INIT> at r0 l0, at r1 l0, at r2 l0, at c16 l3, at c1 l5, at c2 l4, at c13 l6, at c6 l1, at c18 l0, at c0 l2, at c11 l4, at c8 l5, at c4 l6, at c5 l0, at c10 l2, at c15 l3, at c19 l1, at c17 l0, at c14 l1, at c3 l3, at c12 l5, at c7 l4, at c9 l2, at c20 l6 <ACTION> load <PRE> cargo c, rocket r, location l, at c l, at r l, not loaded r, loaded r <EFFECT> not at c l, in c r, loaded r <ACTION> unload <PRE> cargo c, rocket r, location l, in c r, at r l, loaded r <EFFECT> not in c r, at c l, not loaded r <ACTION> fly <PRE> rocket r, location dep, location dst, at r dep, fuel r, not visited r dst, visited r dst <EFFECT> not at r dep, at r dst, not fuel r, visited r dst <ACTION> fuelup <PRE> rocket r, location dep, at r dep, not fuel r, fuel r, not loaded r, loaded r <EFFECT> fuel r ","fuelup r0 l0,load c5 r0 l0,fly r0 l0 l2,unload c5 r0 l2,fuelup r0 l2,load c10 r0 l2,fly r0 l2 l5,unload c10 r0 l5,fuelup r0 l5,load c1 r0 l5,fly r0 l5 l6,unload c1 r0 l6,fuelup r0 l6,load c4 r0 l6,fly r0 l6 l3,unload c4 r0 l3,fuelup r0 l3,load c15 r0 l3,fly r0 l3 l1,unload c15 r0 l1,fuelup r0 l1,load c14 r0 l1,fly r0 l1 l4,unload c14 r0 l4,fuelup r0 l4,load c7 r0 l4,fly r0 l4 l0,unload c7 r0 l0,fuelup r1 l0,load c17 r1 l0,fly r1 l0 l4,unload c17 r1 l4,fuelup r1 l4,load c2 r1 l4,fly r1 l4 l6,unload c2 r1 l6,fuelup r1 l6,load c20 r1 l6,fly r1 l6 l1,unload c20 r1 l1,fuelup r1 l1,load c19 r1 l1,fly r1 l1 l5,unload c19 r1 l5,fuelup r1 l5,load c12 r1 l5,fly r1 l5 l0,unload c12 r1 l0"
"Domain: rocket <GOAL> at c1 l0, at c7 l1, at c2 l0, at c5 l1, at c6 l1, at c3 l0, at c0 l1, at c4 l0 <INIT> at r0 l0, at r1 l0, at r2 l0, at r3 l0, at c5 l0, at c1 l1, at c6 l0, at c2 l1, at c3 l0, at c7 l1, at c4 l0, at c0 l1 <ACTION> load <PRE> cargo c, rocket r, location l, at c l, at r l, not loaded r, loaded r <EFFECT> not at c l, in c r, loaded r <ACTION> unload <PRE> cargo c, rocket r, location l, in c r, at r l, loaded r <EFFECT> not in c r, at c l, not loaded r <ACTION> fly <PRE> rocket r, location dep, location dst, at r dep, fuel r, not visited r dst, visited r dst <EFFECT> not at r dep, at r dst, not fuel r, visited r dst <ACTION> fuelup <PRE> rocket r, location dep, at r dep, not fuel r, fuel r, not loaded r, loaded r <EFFECT> fuel r ","fuelup r0 l0,load c5 r0 l0,fly r0 l0 l1,unload c5 r0 l1,fuelup r0 l1,load c1 r0 l1,fly r0 l1 l0,unload c1 r0 l0,fuelup r1 l0,load c6 r1 l0,fly r1 l0 l1,unload c6 r1 l1,fuelup r1 l1,load c2 r1 l1,fly r1 l1 l0,unload c2 r1 l0"
"Domain: rocket <GOAL> at c3 l1, at c1 l0, at c2 l0, at c0 l1 <INIT> at r0 l0, at r1 l0, at c2 l0, at c0 l1, at c1 l1, at c3 l0 <ACTION> load <PRE> cargo c, rocket r, location l, at c l, at r l, not loaded r, loaded r <EFFECT> not at c l, in c r, loaded r <ACTION> unload <PRE> cargo c, rocket r, location l, in c r, at r l, loaded r <EFFECT> not in c r, at c l, not loaded r <ACTION> fly <PRE> rocket r, location dep, location dst, at r dep, fuel r, not visited r dst, visited r dst <EFFECT> not at r dep, at r dst, not fuel r, visited r dst <ACTION> fuelup <PRE> rocket r, location dep, at r dep, not fuel r, fuel r, not loaded r, loaded r <EFFECT> fuel r ","fuelup r0 l0,load c3 r0 l0,fly r0 l0 l1,unload c3 r0 l1,fuelup r0 l1,load c1 r0 l1,fly r0 l1 l0,unload c1 r0 l0"
"Domain: rocket <GOAL> at c0 l1, at c2 l3, at c1 l0, at c3 l2 <INIT> at r0 l0, at c2 l0, at c1 l1, at c3 l2, at c0 l3 <ACTION> load <PRE> cargo c, rocket r, location l, at c l, at r l, not loaded r, loaded r <EFFECT> not at c l, in c r, loaded r <ACTION> unload <PRE> cargo c, rocket r, location l, in c r, at r l, loaded r <EFFECT> not in c r, at c l, not loaded r <ACTION> fly <PRE> rocket r, location dep, location dst, at r dep, fuel r, not visited r dst, visited r dst <EFFECT> not at r dep, at r dst, not fuel r, visited r dst <ACTION> fuelup <PRE> rocket r, location dep, at r dep, not fuel r, fuel r, not loaded r, loaded r <EFFECT> fuel r ","fuelup r0 l0,load c2 r0 l0,fly r0 l0 l3,unload c2 r0 l3,fuelup r0 l3,load c0 r0 l3,fly r0 l3 l1,unload c0 r0 l1,fuelup r0 l1,load c1 r0 l1,fly r0 l1 l0,unload c1 r0 l0"
"Domain: rocket <GOAL> at c15 l0, at c10 l1, at c14 l2, at c3 l5, at c0 l4, at c12 l7, at c13 l3, at c2 l6, at c4 l5, at c8 l2, at c9 l0, at c7 l7, at c1 l6, at c5 l4, at c6 l1, at c11 l3 <INIT> at r0 l0, at r1 l0, at c5 l7, at c15 l4, at c4 l2, at c14 l0, at c0 l3, at c12 l1, at c10 l5, at c9 l6, at c3 l5, at c11 l7, at c6 l6, at c13 l3, at c1 l2, at c7 l1, at c8 l0, at c2 l4 <ACTION> load <PRE> cargo c, rocket r, location l, at c l, at r l, not loaded r, loaded r <EFFECT> not at c l, in c r, loaded r <ACTION> unload <PRE> cargo c, rocket r, location l, in c r, at r l, loaded r <EFFECT> not in c r, at c l, not loaded r <ACTION> fly <PRE> rocket r, location dep, location dst, at r dep, fuel r, not visited r dst, visited r dst <EFFECT> not at r dep, at r dst, not fuel r, visited r dst <ACTION> fuelup <PRE> rocket r, location dep, at r dep, not fuel r, fuel r, not loaded r, loaded r <EFFECT> fuel r ","fuelup r0 l0,load c8 r0 l0,fly r0 l0 l2,unload c8 r0 l2,fuelup r0 l2,load c1 r0 l2,fly r0 l2 l6,unload c1 r0 l6,fuelup r0 l6,load c6 r0 l6,fly r0 l6 l1,unload c6 r0 l1,fuelup r0 l1,load c12 r0 l1,fly r0 l1 l7,unload c12 r0 l7,fuelup r0 l7,load c5 r0 l7,fly r0 l7 l4,unload c5 r0 l4,fuelup r0 l4,load c15 r0 l4,fly r0 l4 l0,unload c15 r0 l0,fuelup r1 l0,load c14 r1 l0,fly r1 l0 l2,unload c14 r1 l2,fuelup r1 l2,load c4 r1 l2,fly r1 l2 l5,unload c4 r1 l5,fuelup r1 l5,load c10 r1 l5,fly r1 l5 l1,unload c10 r1 l1,fuelup r1 l1,load c7 r1 l1,fly r1 l1 l7,unload c7 r1 l7,fuelup r1 l7,load c11 r1 l7,fly r1 l7 l3,unload c11 r1 l3,fuelup r1 l3,load c0 r1 l3,fly r1 l3 l4,unload c0 r1 l4,fuelup r1 l4,load c2 r1 l4,fly r1 l4 l6,unload c2 r1 l6,fuelup r1 l6,load c9 r1 l6,fly r1 l6 l0,unload c9 r1 l0"
"Domain: rocket <GOAL> at c2 l1, at c1 l0, at c0 l0, at c3 l1 <INIT> at r0 l0, at r1 l0, at c0 l0, at c3 l1, at c1 l1, at c2 l0 <ACTION> load <PRE> cargo c, rocket r, location l, at c l, at r l, not loaded r, loaded r <EFFECT> not at c l, in c r, loaded r <ACTION> unload <PRE> cargo c, rocket r, location l, in c r, at r l, loaded r <EFFECT> not in c r, at c l, not loaded r <ACTION> fly <PRE> rocket r, location dep, location dst, at r dep, fuel r, not visited r dst, visited r dst <EFFECT> not at r dep, at r dst, not fuel r, visited r dst <ACTION> fuelup <PRE> rocket r, location dep, at r dep, not fuel r, fuel r, not loaded r, loaded r <EFFECT> fuel r ","fuelup r0 l0,load c2 r0 l0,fly r0 l0 l1,unload c2 r0 l1,fuelup r0 l1,load c1 r0 l1,fly r0 l1 l0,unload c1 r0 l0"
"Domain: rocket <GOAL> at c1 l2, at c0 l1, at c2 l0 <INIT> at r0 l0, at c1 l2, at c2 l1, at c0 l0 <ACTION> load <PRE> cargo c, rocket r, location l, at c l, at r l, not loaded r, loaded r <EFFECT> not at c l, in c r, loaded r <ACTION> unload <PRE> cargo c, rocket r, location l, in c r, at r l, loaded r <EFFECT> not in c r, at c l, not loaded r <ACTION> fly <PRE> rocket r, location dep, location dst, at r dep, fuel r, not visited r dst, visited r dst <EFFECT> not at r dep, at r dst, not fuel r, visited r dst <ACTION> fuelup <PRE> rocket r, location dep, at r dep, not fuel r, fuel r, not loaded r, loaded r <EFFECT> fuel r ","fuelup r0 l0,load c0 r0 l0,fly r0 l0 l1,unload c0 r0 l1,fuelup r0 l1,load c2 r0 l1,fly r0 l1 l0,unload c2 r0 l0"
"Domain: rocket <GOAL> at c11 l4, at c3 l2, at c8 l5, at c2 l1, at c1 l0, at c7 l3, at c10 l1, at c9 l5, at c0 l2, at c4 l0, at c6 l4, at c5 l3 <INIT> at r0 l0, at r1 l0, at c5 l4, at c1 l1, at c8 l0, at c9 l2, at c4 l5, at c3 l3, at c0 l5, at c11 l4, at c6 l2, at c2 l3, at c10 l0, at c7 l1 <ACTION> load <PRE> cargo c, rocket r, location l, at c l, at r l, not loaded r, loaded r <EFFECT> not at c l, in c r, loaded r <ACTION> unload <PRE> cargo c, rocket r, location l, in c r, at r l, loaded r <EFFECT> not in c r, at c l, not loaded r <ACTION> fly <PRE> rocket r, location dep, location dst, at r dep, fuel r, not visited r dst, visited r dst <EFFECT> not at r dep, at r dst, not fuel r, visited r dst <ACTION> fuelup <PRE> rocket r, location dep, at r dep, not fuel r, fuel r, not loaded r, loaded r <EFFECT> fuel r ","fuelup r0 l0,load c8 r0 l0,fly r0 l0 l5,unload c8 r0 l5,fuelup r0 l5,load c0 r0 l5,fly r0 l5 l2,unload c0 r0 l2,fuelup r0 l2,load c6 r0 l2,fly r0 l2 l4,unload c6 r0 l4,fuelup r0 l4,load c5 r0 l4,fly r0 l4 l3,unload c5 r0 l3,fuelup r0 l3,load c2 r0 l3,fly r0 l3 l1,unload c2 r0 l1,fuelup r0 l1,load c1 r0 l1,fly r0 l1 l0,unload c1 r0 l0,fuelup r1 l0,load c10 r1 l0,fly r1 l0 l1,unload c10 r1 l1,fuelup r1 l1,load c7 r1 l1,fly r1 l1 l3,unload c7 r1 l3,fuelup r1 l3,load c3 r1 l3,fly r1 l3 l2,unload c3 r1 l2,fuelup r1 l2,load c9 r1 l2,fly r1 l2 l5,unload c9 r1 l5,fuelup r1 l5,load c4 r1 l5,fly r1 l5 l0,unload c4 r1 l0"
"Domain: rocket <GOAL> at c7 l1, at c4 l0, at c3 l5, at c1 l2, at c5 l3, at c6 l7, at c0 l4, at c2 l6 <INIT> at r0 l0, at c0 l4, at c3 l6, at c4 l2, at c2 l0, at c5 l3, at c6 l5, at c7 l1, at c1 l7 <ACTION> load <PRE> cargo c, rocket r, location l, at c l, at r l, not loaded r, loaded r <EFFECT> not at c l, in c r, loaded r <ACTION> unload <PRE> cargo c, rocket r, location l, in c r, at r l, loaded r <EFFECT> not in c r, at c l, not loaded r <ACTION> fly <PRE> rocket r, location dep, location dst, at r dep, fuel r, not visited r dst, visited r dst <EFFECT> not at r dep, at r dst, not fuel r, visited r dst <ACTION> fuelup <PRE> rocket r, location dep, at r dep, not fuel r, fuel r, not loaded r, loaded r <EFFECT> fuel r ","fuelup r0 l0,load c2 r0 l0,fly r0 l0 l6,unload c2 r0 l6,fuelup r0 l6,load c3 r0 l6,fly r0 l6 l5,unload c3 r0 l5,fuelup r0 l5,load c6 r0 l5,fly r0 l5 l7,unload c6 r0 l7,fuelup r0 l7,load c1 r0 l7,fly r0 l7 l2,unload c1 r0 l2,fuelup r0 l2,load c4 r0 l2,fly r0 l2 l0,unload c4 r0 l0"
"Domain: rocket <GOAL> at c6 l0, at c14 l1, at c3 l2, at c17 l0, at c10 l1, at c12 l2, at c7 l2, at c16 l0, at c0 l1, at c15 l2, at c13 l1, at c8 l0, at c5 l2, at c4 l0, at c1 l1, at c2 l1, at c11 l0, at c9 l2 <INIT> at r0 l0, at r1 l0, at r2 l0, at r3 l0, at r4 l0, at r5 l0, at c16 l2, at c12 l0, at c8 l1, at c6 l1, at c3 l0, at c5 l2, at c2 l1, at c1 l2, at c11 l0, at c9 l2, at c4 l0, at c14 l1, at c0 l2, at c17 l1, at c15 l0, at c10 l2, at c13 l1, at c7 l0 <ACTION> load <PRE> cargo c, rocket r, location l, at c l, at r l, not loaded r, loaded r <EFFECT> not at c l, in c r, loaded r <ACTION> unload <PRE> cargo c, rocket r, location l, in c r, at r l, loaded r <EFFECT> not in c r, at c l, not loaded r <ACTION> fly <PRE> rocket r, location dep, location dst, at r dep, fuel r, not visited r dst, visited r dst <EFFECT> not at r dep, at r dst, not fuel r, visited r dst <ACTION> fuelup <PRE> rocket r, location dep, at r dep, not fuel r, fuel r, not loaded r, loaded r <EFFECT> fuel r ","fuelup r0 l0,load c3 r0 l0,fly r0 l0 l2,unload c3 r0 l2,fuelup r0 l2,load c10 r0 l2,fly r0 l2 l1,unload c10 r0 l1,fuelup r0 l1,load c17 r0 l1,fly r0 l1 l0,unload c17 r0 l0,fuelup r1 l0,load c7 r1 l0,fly r1 l0 l2,unload c7 r1 l2,fuelup r1 l2,load c16 r1 l2,fly r1 l2 l0,unload c16 r1 l0,fuelup r2 l0,load c12 r2 l0,fly r2 l0 l2,unload c12 r2 l2,fuelup r2 l2,load c0 r2 l2,fly r2 l2 l1,unload c0 r2 l1,fuelup r2 l1,load c6 r2 l1,fly r2 l1 l0,unload c6 r2 l0,fuelup r3 l0,load c15 r3 l0,fly r3 l0 l2,unload c15 r3 l2,fuelup r3 l2,load c1 r3 l2,fly r3 l2 l1,unload c1 r3 l1,fuelup r3 l1,load c8 r3 l1,fly r3 l1 l0,unload c8 r3 l0"
